Node,X,Y,Z,Imperfection
138.0,-14.699425699999999,2.9877898700000007,29.0,0.0
139.0,-14.866162299999997,1.9993042900000009,29.0,0.0
140.0,-14.966503099999999,1.001889470000001,29.0,0.0
141.0,-14.999999999999998,8.572527594031472e-16,29.0,0.0
142.0,-14.966503099999999,-1.0018894699999992,29.0,0.0
143.0,-14.866162299999997,-1.999304289999999,29.0,0.0
144.0,-14.699425699999999,-2.987789869999999,29.0,0.0
145.0,-14.467037199999998,-3.962930919999999,29.0,0.0
146.0,-14.170036299999998,-4.920372959999999,29.0,0.0
147.0,-13.809748599999999,-5.855839249999999,29.0,0.0
148.0,-13.387782099999999,-6.765151979999999,29.0,0.0
149.0,-12.906023999999999,-7.644249439999999,29.0,0.0
150.0,-12.366623899999999,-8.489206309999998,29.0,0.0
151.0,-11.771990799999998,-9.296248439999998,29.0,0.0
152.0,-11.124781599999999,-10.061771399999998,29.0,0.0
153.0,-10.427885999999999,-10.782355299999999,29.0,0.0
154.0,-9.684417719999999,-11.454782499999999,29.0,0.0
155.0,-8.897696499999999,-12.076050799999999,29.0,0.0
156.0,-8.071235659999997,-12.643383999999998,29.0,0.0
157.0,-7.208726409999997,-13.154249199999999,29.0,0.0
158.0,-6.314021589999998,-13.606363299999998,29.0,0.0
159.0,-5.391116619999997,-13.997709299999999,29.0,0.0
160.0,-4.444133759999997,-14.326537099999998,29.0,0.0
161.0,-3.477302309999997,-14.591380099999999,29.0,0.0
162.0,-2.494940279999997,-14.791053799999998,29.0,0.0
163.0,-1.5014353999999974,-14.924667399999999,29.0,0.0
164.0,-0.5012246369999973,-14.991623899999999,29.0,0.0
165.0,0.5012246370000026,-14.991623899999999,29.0,0.0
166.0,1.5014354000000028,-14.924667399999999,29.0,0.0
167.0,2.4949402800000025,-14.791053799999998,29.0,0.0
168.0,3.4773023100000024,-14.591380099999999,29.0,0.0
169.0,4.444133760000002,-14.326537099999998,29.0,0.0
170.0,5.391116620000003,-13.997709299999999,29.0,0.0
171.0,6.314021590000003,-13.606363299999998,29.0,0.0
172.0,7.208726410000002,-13.154249199999999,29.0,0.0
173.0,8.071235660000001,-12.643383999999998,29.0,0.0
174.0,8.897696500000002,-12.076050799999999,29.0,0.0
175.0,9.684417720000003,-11.454782499999999,29.0,0.0
176.0,10.427886000000003,-10.782355299999999,29.0,0.0
177.0,11.124781600000002,-10.061771399999998,29.0,0.0
178.0,11.771990800000001,-9.296248439999998,29.0,0.0
179.0,12.366623900000002,-8.489206309999998,29.0,0.0
180.0,12.906024000000002,-7.644249439999998,29.0,0.0
181.0,13.387782100000003,-6.765151979999997,29.0,0.0
